GeneID,Cor,P-Value,Description,GO
BCIN15G04350,0.355128924,0,hypothetical protein BC1G_14544,"F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process; F:heme binding"
BCIN04G05420,0.354948579,0,hypothetical protein BcDW1_10277,no IPS match
BCIN01G01980,0.354646665,0,hypothetical protein SBOR_9948,no GO terms
BCIN09G05490,0.35407348,0,methyltransferase domain-containing [Botrytis cinerea T4],F:methyltransferase activity
BCIN03G08130,0.353134582,0,catechol dioxygenase [Botrytis cinerea T4],F:oxidoreductase activity; F:ion binding
BCIN10G05230,0.352815588,0,,F:pyridoxal phosphate binding; F:4-aminobutyrate transaminase activity; F:catalytic activity; F:transaminase activity; P:gamma-aminobutyric acid metabolic process
BCIN02G01760,0.352437819,0,,P:'de novo' IMP biosynthetic process; F:phosphoribosylformylglycinamidine synthase activity
BCIN16G03180,0.352212765,0,acyl- dehydrogenase domain [Botrytis cinerea T4],F:oxidoreductase activity; F:ion binding
BCIN05G08230,0.352082153,0,glycoside hydrolase family 61,F:molecular_function
BCIN03G07250,0.351994241,0,cullin binding [Botrytis cinerea 1],F:binding
BCIN08G03820,0.351571762,0,polysaccharide lyase family 1 [Botrytis cinerea T4],P:carbohydrate metabolic process; P:catabolic process; F:lyase activity; C:extracellular region
BCIN14G00760,0.351309032,0,acid phosphatase [Botrytis cinerea T4],F:molecular_function
BCIN13G02640,0.351192486,0,rhamnogalacturonase b,"P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN01G08780,0.351095029,0,phospho-2-dehydro-3-deoxyheptonate aldolase [Botrytis cinerea T4],P:aromatic amino acid family biosynthetic process; F:catalytic activity; F:3-deoxy-7-phosphoheptulonate synthase activity; P:chorismate biosynthetic process; P:cellular amino acid biosynthetic process; P:biosynthetic process; F:transferase activity
BCIN01G02690,0.350913177,0,extracelular serine carboxypeptidase,F:peptidase activity
BCIN03G07180,0.350910666,0,[Botrytis cinerea ],F:oxidoreductase activity
BCIN06G06800,0.350796631,0,er big1 [Botrytis cinerea 1],C:cellular_component
BCIN09G01390,0.350137042,0,small nucleolar ribonucleo complex subunit [Botrytis cinerea 1],P:ribosome biogenesis; P:cellular nitrogen compound metabolic process; C:nucleolus
BCIN12G02160,0.350091328,0,hypothetical protein BC1G_03094,F:NEDD8 activating enzyme activity; P:protein neddylation; F:small protein activating enzyme activity
BCIN12G00710,0.350086807,0,hypothetical protein BC1G_03506,F:oxidoreductase activity; P:oxidation-reduction process
BCIN02G06870,0.350036571,0,putative transmembrane protein,C:cellular_component
BCIN12G00290,0.349569885,0,mitochondrion biogenesis (She9),C:cellular_component
BCIN12G03880,0.349329258,0,serine threonine phosphatase PP2A-2 catalytic subunit [Botrytis cinerea ],F:phosphatase activity; P:cellular protein modification process
BCIN12G05790,0.349150923,0,pi31 proteasome regulator [Botrytis cinerea 1],C:protein complex; C:intracellular
BCIN05G06430,0.348845492,0,hypothetical protein BofuT4_P134770,"P:metabolic process; P:'de novo' IMP biosynthetic process; P:biosynthetic process; F:amino acid binding; F:hydroxymethyl-, formyl- and related transferase activity; F:formyltetrahydrofolate deformylase activity"
BCIN05G03580,0.348730956,0,scytalidoglutamic peptidase [Botrytis cinerea 1],F:peptidase activity
BCIN06G07340,0.348619936,0,hypothetical protein BC1G_14226,
BCIN03G00620,0.348179372,0,,F:protein binding
BCIN16G02870,0.348177363,0,,no GO terms
BCIN09G04000,0.348150738,0,transcription factor C2H2,F:ion binding
BCIN12G04860,0.348052779,0,,F:ATP binding; F:aspartate carbamoyltransferase activity; P:'de novo' pyrimidine nucleobase biosynthetic process; P:nitrogen compound metabolic process; F:metal ion binding; P:glutamine metabolic process; P:cellular amino acid metabolic process; F:carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; F:amino acid binding; F:carboxyl- or carbamoyltransferase activity
BCIN04G04500,0.348012591,0,outer mitochondrial membrane porin [Botrytis cinerea ],F:voltage-gated anion channel activity; P:regulation of anion transmembrane transport; P:transmembrane transport; C:mitochondrial outer membrane; P:anion transport
BCIN02G07770,0.347855857,0,"Bcnep2, necrosis- and ethylene-inducing 2 precursor [Botrytis cinerea ]",no GO terms
BCIN11G04280,0.347832246,0,hypothetical protein BC1G_03359 [Botrytis cinerea B050],no GO terms
BCIN12G00330,0.346499504,0,topoisomerase II-associated PAT1 [Botrytis cinerea T4],F:isomerase activity
BCIN04G04930,0.346153885,0,endopolygalacturonase [Botrytis cinerea],"P:carbohydrate metabolic process; P:cell wall organization or biogenesis; C:extracellular region; F:hydrolase activity, acting on glycosyl bonds"
BCIN04G01920,0.345813792,0,hypothetical protein BC1G_14191 [Botrytis cinerea B050],no GO terms
BCIN10G04300,0.345673133,0,40S ribosomal S18,F:RNA binding; F:structural constituent of ribosome; C:cytosol; P:ribosome biogenesis; C:ribosome; P:translation
BCIN03G01130,0.345638471,0,,F:oxidoreductase activity
BCIN10G00950,0.345501328,0,hypothetical protein BC1G_05145,F:catalytic activity
BCIN09G05740,0.345440544,0,feruloyl esterase b,F:molecular_function
BCIN05G00220,0.345402867,0,,no GO terms
BCIN15G04970,0.345357655,0,glucose-6-phosphate isomerase,F:glucose-6-phosphate isomerase activity; P:gluconeogenesis; P:glycolytic process
BCIN02G01810,0.344939195,0,benzodiazepine receptor family [Botrytis cinerea T4],C:cellular_component
BCIN05G05580,0.34486334,0,ribose-phosphate pyrophosphokinase [Botrytis cinerea T4],P:small molecule metabolic process; F:ion binding; P:cellular nitrogen compound metabolic process; P:biosynthetic process; F:kinase activity
BCIN13G05560,0.344742273,0,actin cytoskeleton organization (Cro1) [Botrytis cinerea T4],F:binding
BCIN12G01940,0.343991255,0,hypothetical protein BofuT4_P133900,C:nucleus; C:cytoplasm; F:oxidoreductase activity; F:ion binding; P:cellular protein modification process; P:biosynthetic process
BCIN05G06150,0.343982715,0,hypothetical protein BC1G_01764,F:protein binding
BCIN06G01690,0.34380438,0,glycoside hydrolase family 36,F:molecular_function
BCIN10G01020,0.343767708,0,small secreted [Botrytis cinerea 1],no GO terms
BCIN03G07320,0.343735055,0,ribonuclease T2 [Botrytis cinerea T4],F:RNA binding; F:nuclease activity
BCIN14G05330,0.343649655,0,gpi anchored [Botrytis cinerea 1],F:oxidoreductase activity; F:ion binding
BCIN08G01040,0.343236218,0,zinc finger dhhc domain containing [Botrytis cinerea 1],no GO terms
BCIN01G03710,0.343212106,0,siderophore biosynthesis acetylase [Botrytis cinerea T4],no GO terms
BCIN04G03620,0.343171415,0,hypothetical protein BofuT4_P096150,F:RNA binding; F:nuclease activity
BCIN01G08220,0.342790631,0,oxidoreductase [Botrytis cinerea T4],F:oxidoreductase activity; F:ion binding
BCIN06G02930,0.342714776,0,hypothetical protein BofuT4_P110500,no GO terms
BCIN10G03930,0.342644447,0,serine threonine phosphatase,F:phosphoprotein phosphatase activity; F:metal ion binding; P:protein dephosphorylation
BCIN06G02310,0.342030069,0,hypothetical protein BC1G_01261,no GO terms
BCIN02G06380,0.34185525,0,fatty acid desaturase [Botrytis cinerea T4],F:oxidoreductase activity; P:lipid metabolic process; C:cellular_component
BCIN07G02610,0.341700023,0,6-phosphogluconate dehydrogenase,P:small molecule metabolic process; F:oxidoreductase activity; P:cofactor metabolic process; P:cellular nitrogen compound metabolic process
BCIN02G05100,0.341640745,0,copper amine oxidase [Botrytis cinerea T4],F:oxidoreductase activity; F:ion binding
BCIN11G04790,0.341516162,0,aldehyde reductase,F:oxidoreductase activity; P:oxidation-reduction process
BCIN02G01720,0.341493556,0,phospholipase [Botrytis cinerea T4],F:molecular_function
BCIN05G07120,0.341474466,0,short-chain dehydrogenase reductase SDR [Botrytis cinerea T4],F:oxidoreductase activity
BCIN03G06340,0.341312709,0,hypothetical protein BC1G_06115 [Botrytis cinerea B050],no GO terms
BCIN08G01110,0.341228816,0,woronin body major,"F:translation factor activity, RNA binding"
BCIN01G00530,0.339902604,0,hypothetical protein BcDW1_1467,F:protein binding
BCIN14G02830,0.339775006,0,60S ribosomal L3 [Botrytis cinerea ],F:structural constituent of ribosome; C:ribosome; P:translation
BCIN03G00770,0.339684583,0,hypothetical protein BC1G_02113,no GO terms
BCIN04G06830,0.339566027,0,,no GO terms
BCIN03G05120,0.338757239,0,hypothetical protein BC1G_00810 [Botrytis cinerea B050],F:protein kinase binding; P:regulation of cell cycle; P:regulation of cyclin-dependent protein serine/threonine kinase activity
BCIN13G04470,0.338158434,0,,F:nucleic acid binding
BCIN13G00250,0.338067508,0,peroxisomal adenine nucleotide transporter 1 [Botrytis cinerea 1],C:cellular_component; P:transport
BCIN05G08380,0.337999188,0,hypothetical protein BcDW1_8583,no GO terms
BCIN04G01780,0.337895201,0,acetyl- hydrolase [Botrytis cinerea ],P:sulfur compound metabolic process; P:cofactor metabolic process; F:molecular_function
BCIN04G01630,0.33765156,0,regulatory subunit of the PKA [Botrytis cinerea],F:ion binding; P:cellular protein modification process; F:enzyme regulator activity; F:kinase activity; C:intracellular
BCIN03G01980,0.337000008,0,fungal specific transcription factor,C:nucleus; F:DNA binding; F:ion binding; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN03G04500,0.33685734,0,ser arg-related nuclear matrix [Botrytis cinerea 1],no GO terms
BCIN14G03880,0.336797057,0,hypothetical protein BcDW1_2212,no GO terms
BCIN10G01380,0.336707639,0,hypothetical protein BC1G_05092,F:nucleic acid binding; P:transport; C:intracellular
BCIN07G01700,0.33654136,0,hypothetical protein BC1G_15665,F:nucleic acid binding; P:mRNA 3'-end processing
BCIN10G04100,0.336493134,0,methyltransferase family [Botrytis cinerea T4],F:methyltransferase activity
BCIN05G06510,0.336370057,0,cellobiose dehydrogenase [Botrytis cinerea T4],F:oxidoreductase activity; F:ion binding
BCIN02G04170,0.336273103,0,ATP synthase subunit mitochondrial precursor [Botrytis cinerea ],P:small molecule metabolic process; F:transmembrane transporter activity; C:mitochondrion; C:protein complex; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN05G00090,0.335976715,0,DED1_BOTFB ame: Full=ATP-dependent RNA helicase ded1,F:translation initiation factor activity; F:ATP binding; C:cytoplasm; F:helicase activity; P:translational initiation
BCIN02G04320,0.335963654,0,hypothetical protein BcDW1_4718,no GO terms
BCIN11G03740,0.334951915,0,translation initiation factor rli1,"F:ATPase activity; F:ion binding; F:translation factor activity, RNA binding"
BCIN02G05870,0.334771068,0,zinc-binding alcohol dehydrogenase [Botrytis cinerea T4],F:oxidoreductase activity; F:ion binding
BCIN11G04900,0.334639451,0,amino acid,C:cellular_component
BCIN04G05950,0.334306893,0,[Botrytis cinerea ],no GO terms
BCIN01G09570,0.334305386,0,hypothetical protein BofuT4_P014580,F:nucleotide binding; F:RNA binding
BCIN01G03730,0.333974838,0,Bcnrps6,F:catalytic activity; P:metabolic process; F:phosphopantetheine binding
BCIN16G01410,0.333903504,0,benzoate 4-monooxygenase cytochrome p450,F:oxidoreductase activity; F:ion binding
BCIN12G05210,0.333871353,0,malate dehydrogenase [Botrytis cinerea T4],P:carbohydrate metabolic process; F:L-malate dehydrogenase activity; P:malate metabolic process; P:tricarboxylic acid cycle
BCIN06G02240,0.333082659,0,similar to SUR7 protein,C:plasma membrane
BCIN10G02270,0.333081152,0,glutathione S-transferase [Botrytis cinerea T4],F:molecular_function
BCIN08G01020,0.332586837,0,similar to sedolisin,F:peptidase activity
BCIN15G00130,0.332040779,0,carbohydrate esterase family 5 [Botrytis cinerea T4],"P:carbohydrate metabolic process; C:extracellular region; F:hydrolase activity, acting on glycosyl bonds"
BCIN14G03100,0.331939304,0,ATP-dependent RNA helicase dbp5 [Botrytis cinerea T4],F:ion binding; F:helicase activity
BCIN04G03510,0.331829288,0,extracellular cellulase allergen asp f7- [Botrytis cinerea 1],no GO terms
BCIN08G05870,0.33178257,0,hypothetical protein BC1G_08975,F:catalytic activity; F:alpha-L-fucosidase activity
BCIN10G00750,0.331581628,0,hypothetical protein BofuT4P201000002001,F:RNA binding; F:ion binding; P:mRNA processing
BCIN02G08370,0.331531393,0,tsa family,F:oxidoreductase activity; P:oxidation-reduction process
BCIN05G02870,0.331335475,0,26S proteasome non-ATPase regulatory subunit 11 [Botrytis cinerea T4],C:protein complex; C:intracellular
BCIN01G02970,0.330876325,0,carbohydrate-binding module family 18 [Botrytis cinerea 1],F:molecular_function
BCIN01G08720,0.330408132,0,ubiquitin-conjugating enzyme [Botrytis cinerea ],no GO terms
BCIN11G06130,0.330404615,0,meiotically up-regulated 80 [Botrytis cinerea 1],P:cellular protein modification process; P:cell cycle; F:enzyme binding
BCIN13G05670,0.330350863,0,aliphatic nitrilase [Botrytis cinerea T4],"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; P:nitrogen compound metabolic process"
BCIN02G00890,0.330336798,0,hypothetical protein BcDW1_6460,C:cellular_component
BCIN11G02070,0.330121288,0,hypothetical protein BofuT4P29000015001,no GO terms
BCIN11G05070,0.329849013,0,hypothetical protein BC1G_03255 [Botrytis cinerea B050],C:integral component of membrane
BCIN09G01730,0.329726439,0,ubiquitin-conjugating enzyme E2 [Botrytis cinerea T4],F:ion binding
BCIN14G01980,0.329630489,0,transketolase [Botrytis cinerea T4],F:transketolase activity; F:metal ion binding; P:metabolic process
BCIN08G04610,0.329275828,0,short-chain dehydrogenase reductase SDR [Botrytis cinerea T4],F:oxidoreductase activity
BCIN10G05100,0.328479598,0,hypothetical protein BC1G_03598,no GO terms
BCIN02G02980,0.328396208,0,antibiotic biosynthesis monooxygenase [Botrytis cinerea 1],P:oxidation-reduction process; F:monooxygenase activity
BCIN16G01090,0.328180698,0,---NA---,no GO terms
BCIN03G06810,0.328113383,0,eukaryotic translation initiation factor subunit,"F:translation factor activity, RNA binding"
BCIN03G04790,0.327879789,0,aldo keto reductase,F:oxidoreductase activity; P:oxidation-reduction process
BCIN03G02300,0.327463841,0,gtpase activating,P:signal transduction; F:enzyme regulator activity
BCIN09G01080,0.327088081,0,hypothetical protein BC1G_14709 [Botrytis cinerea B050],
BCIN01G08500,0.327042366,0,integral membrane [Botrytis cinerea T4],C:cellular_component
BCIN05G06020,0.326854989,0,hypothetical protein BC1G_01778,"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; C:extracellular region; F:cellulose binding"
BCIN13G02870,0.326737941,0,ankyrin repeat,no GO terms
BCIN10G00930,0.326690217,0,dna damage tolerance rad31,P:cellular protein modification process; F:ligase activity
BCIN14G05450,0.326661583,0,predicted protein,no GO terms
BCIN06G01630,0.326385289,0,glycoside hydrolase family 79,F:molecular_function
BCIN11G01050,0.326365697,0,"homogentisate 1,2-dioxygenase [Botrytis cinerea T4]","P:L-phenylalanine catabolic process; P:tyrosine metabolic process; P:oxidation-reduction process; F:homogentisate 1,2-dioxygenase activity"
BCIN03G00280,0.32620193,0,hypothetical protein BC1G_12517,no GO terms
BCIN02G05470,0.326185855,0,nucleoside-diphosphate-sugar epimerase,no GO terms
BCIN04G01180,0.326160737,0,60S ribosomal L18 [Botrytis cinerea ],F:structural constituent of ribosome; C:ribosome; C:intracellular; P:translation
BCIN04G00180,0.325947739,0,galactose-proton symport [Botrytis cinerea 1],no GO terms
BCIN09G00150,0.325855809,0,mfs monosaccharide [Botrytis cinerea 1],F:transmembrane transporter activity; C:cellular_component
BCIN05G07430,0.325837724,0,acetyl-coa acetyltransferase [Botrytis cinerea T4],"F:transferase activity, transferring acyl groups other than amino-acyl groups; F:catalytic activity; P:metabolic process; F:transferase activity"
BCIN12G04840,0.325546359,0,predicted protein,no GO terms
BCIN14G00940,0.325280112,0,,F:ATPase activity; F:ATP binding; C:integral component of membrane; P:transport; F:transporter activity
BCIN11G04280,0.325141463,0,hypothetical protein BC1G_03359 [Botrytis cinerea B050],no GO terms
BCIN10G04410,0.325080678,0,ureidoglycolate hydrolase,"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; P:catabolic process; F:lyase activity; P:cellular nitrogen compound metabolic process"
BCIN06G06150,0.324706425,0,[Botrytis cinerea ],no GO terms
BCIN15G03580,0.324616504,0,stress-activated mitogen-activated kinase [Botrytis cinerea],C:nucleus; C:cytoplasm; F:ion binding; P:cellular protein modification process; P:cellular nitrogen compound metabolic process; P:biosynthetic process; F:signal transducer activity; F:kinase activity
BCIN06G06110,0.324150822,0,bzip transcription [Botrytis cinerea 1],no GO terms
BCIN13G03870,0.323982032,0,P-type ATPase [Botrytis cinerea T4],F:ion binding; C:cellular_component; P:transport
BCIN10G03200,0.323968971,0,hypothetical protein BofuT4_P050930,no GO terms
BCIN05G06710,0.323897637,0,mitochondrial import inner membrane translocase subunit tim9 [Botrytis cinerea T4],F:metal ion binding; C:mitochondrion; P:protein transport
BCIN15G03010,0.323633399,0,dnase1 [Botrytis cinerea 1],no GO terms
BCIN08G04080,0.323403321,0,hypothetical protein BofuT4_P084560,C:plasma membrane
BCIN04G01750,0.323111956,0,snare domain,P:membrane organization; P:vesicle-mediated transport; C:intracellular; F:molecular_function
BCIN06G03510,0.323111454,0,transcription factor sequence,F:DNA binding; F:nucleic acid binding transcription factor activity; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN15G04680,0.322918048,0,hypothetical protein BcDW1_147,no GO terms
BCIN13G04000,0.32286731,0,d-arabinitol 2-dehydrogenase,F:oxidoreductase activity; P:oxidation-reduction process
BCIN10G01610,0.322603073,0,glycosyl family 43,"P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN09G03490,0.322588002,0,,no GO terms
BCIN14G01200,0.322584486,0,22kda glyco [Botrytis cinerea 1],no GO terms
BCIN11G01700,0.322479494,0,similar to phosphoketolase,F:aldehyde-lyase activity; P:carbohydrate metabolic process
BCIN09G05120,0.322446339,0,cytochrome b5 [Botrytis cinerea 1],F:ion binding; C:cellular_component
BCIN04G03340,0.322391582,0,hypothetical protein BC1G_15300 [Botrytis cinerea B050],no GO terms
BCIN12G02830,0.322122823,0,glycoside hydrolase family 3 [Botrytis cinerea T4],"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds"
BCIN04G01950,0.322120312,0,,F:nucleic acid binding; F:ATP binding; F:RNA binding; F:RNA helicase activity; P:RNA catabolic process
BCIN11G00330,0.322105743,0,hydroxymethylglutaryl- synthase,P:isoprenoid biosynthetic process; F:hydroxymethylglutaryl-CoA synthase activity
BCIN15G05190,0.322008287,0,integral membrane [Botrytis cinerea T4],C:plasma membrane
BCIN11G04080,0.321845022,0,chromatin regulatory sir2,F:ion binding
BCIN11G03020,0.321463736,0,galactokinase [Botrytis cinerea 1],P:small molecule metabolic process; P:carbohydrate metabolic process; C:cytoplasm; F:ion binding; F:kinase activity
BCIN12G00940,0.321356233,0,3-ketoacyl-coA thiolase [Botrytis cinerea T4],"P:biological_process; F:transferase activity, transferring acyl groups"
BCIN14G04790,0.321320566,0,60s ribosomal l15 [Botrytis cinerea 1],F:structural constituent of ribosome; C:ribosome; P:translation
BCIN11G02800,0.321251241,0,hypothetical protein BofuT4_P037930 [Botrytis cinerea T4],no GO terms
BCIN14G00860,0.321154287,0,carbohydrate esterase family 8 [Botrytis cinerea T4],P:carbohydrate metabolic process; P:catabolic process; C:cell wall; P:cell wall organization or biogenesis; C:extracellular region; F:molecular_function
BCIN15G03310,0.321058337,0,hypothetical protein BC1G_02964,F:protein disulfide oxidoreductase activity; F:electron carrier activity; P:cell redox homeostasis
BCIN09G07020,0.321003078,0,transcription factor Cys6 [Botrytis cinerea T4],"C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-templated; F:RNA polymerase II transcription factor activity, sequence-specific DNA binding"
BCIN06G00730,0.320933251,0,rRNA processing Bystin [Botrytis cinerea T4],no GO terms
BCIN16G04640,0.320694131,0,,
BCIN15G02950,0.320268136,0,,C:nucleus; F:DNA binding; F:nucleic acid binding transcription factor activity; F:ion binding; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN08G03250,0.319992846,0,gtpase activating rga6,P:signal transduction
BCIN04G01890,0.319783868,0,diphosphomevalonate decarboxylase [Botrytis cinerea T4],P:sulfur compound metabolic process; P:cofactor metabolic process; P:lipid metabolic process; F:lyase activity; F:ion binding; C:cytosol; P:biosynthetic process
BCIN15G03580,0.319704998,0,stress-activated mitogen-activated kinase [Botrytis cinerea],F:ATP binding; F:MAP kinase activity; F:protein kinase activity; P:protein phosphorylation
BCIN01G06140,0.319674857,0,rna recognition domain-containing [Botrytis cinerea 1],F:RNA binding; P:mRNA processing
BCIN01G10360,0.319608044,0,pre-mrna splicing factor,P:DNA metabolic process; F:molecular_function; P:response to stress
BCIN13G05220,0.319341295,0,ccch finger dna binding [Botrytis cinerea 1],F:ion binding
BCIN16G04640,0.319241829,0,NAD-dependent formate dehydrogenase [Botrytis cinerea T4],F:oxidoreductase activity
BCIN01G00380,0.319134828,0,,no GO terms
BCIN09G01700,0.318985126,0,thioesterase family [Botrytis cinerea 1],C:cellular_component
BCIN14G02270,0.318442083,0,,F:ion binding
BCIN12G00420,0.318413951,0,60S ribosomal export NMD3 [Botrytis cinerea ],no GO terms
BCIN04G00520,0.318286856,0,helicase associated domain-containing,F:ion binding; F:helicase activity
BCIN08G03710,0.317864879,0,,F:oxidoreductase activity; P:oxidation-reduction process
BCIN05G07670,0.317663436,0,alcohol dehydrogenase,F:zinc ion binding; F:oxidoreductase activity; P:oxidation-reduction process
BCIN09G06400,0.317640327,0,,F:oxidoreductase activity; P:oxidation-reduction process
BCIN03G06360,0.317558444,0,c6 finger domain-containing,"C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-templated; F:RNA polymerase II transcription factor activity, sequence-specific DNA binding"
BCIN02G05580,0.317403719,0,predicted protein,no GO terms
BCIN14G05240,0.317323845,0,hypothetical protein BC1G_10754,F:protein binding
BCIN13G05580,0.317317314,0,alcohol dehydrogenase [Botrytis cinerea 1],F:oxidoreductase activity; F:ion binding
BCIN14G04600,0.317283657,0,hypothetical protein BC1G_15345,no GO terms
BCIN13G00620,0.317243468,0,,F:nucleic acid binding; F:RNA binding; F:binding
BCIN05G07360,0.317215839,0,hypothetical protein BofuT4_P059920 [Botrytis cinerea T4],C:cellular_component
BCIN12G03960,0.317157566,0,survival factor 1 [Botrytis cinerea T4],P:response to stress
BCIN11G02040,0.316705448,0,succinate-semialdehyde dehydrogenase [Botrytis cinerea 1],F:oxidoreductase activity
BCIN01G05310,0.316405544,0,[Botrytis cinerea ],no GO terms
BCIN08G00270,0.316353299,0,sugar transporter [Botrytis cinerea T4],F:substrate-specific transmembrane transporter activity; P:transmembrane transport; F:transmembrane transporter activity; C:membrane; C:integral component of membrane; F:transporter activity
BCIN11G02050,0.315851951,0,short-chain dehydrogenase reductase [Botrytis cinerea T4],F:oxidoreductase activity; P:oxidation-reduction process
BCIN05G05900,0.315766551,0,pepsin (secreted ) [Botrytis cinerea T4],F:peptidase activity
BCIN08G00630,0.315682658,0,glutamate-rich WD repeat containing 1 [Botrytis cinerea T4],C:nucleus
BCIN05G02420,0.315603788,0,CFEM domain-containing,C:cellular_component
BCIN02G03820,0.315312926,0,hypothetical protein BC1G_07978,F:ATP binding; F:thymidylate kinase activity; P:dTDP biosynthetic process
BCIN09G00770,0.315099928,0,similar to D-lactonohydrolase-like protein,F:molecular_function
BCIN07G01260,0.315063256,0,hypothetical protein BC1G_09773,"F:endoplasmic reticulum signal peptide binding; P:SRP-dependent cotranslational protein targeting to membrane; F:RNA binding; F:7S RNA binding; F:signal recognition particle binding; C:signal recognition particle, endoplasmic reticulum targeting"
BCIN02G02470,0.314650322,0,mrna cleavage factor complex component pcf11 [Botrytis cinerea 1],C:mRNA cleavage factor complex; P:termination of RNA polymerase II transcription; P:intracellular protein transport; P:mRNA polyadenylation; P:mRNA cleavage
BCIN05G02720,0.314627214,0,glycerol:H+ symporter (Gup1),C:cellular_component
BCIN07G00490,0.314577983,0,AP-3 complex subunit delta,P:vesicle-mediated transport; F:protein transporter activity; C:Golgi apparatus; C:protein complex
BCIN04G00170,0.314513682,0,short-chain dehydrogenase reductase SDR [Botrytis cinerea T4],F:oxidoreductase activity
BCIN05G07640,0.314247937,0,,"F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process; F:heme binding"
BCIN06G02080,0.313880717,0,f-box domain,F:protein binding
BCIN05G02400,0.313783261,0,mitochondrial hypoxia responsive domain-containing [Botrytis cinerea 1],C:cellular_component
BCIN09G01610,0.313738049,0,MFS sugar transporter [Botrytis cinerea T4],F:transmembrane transporter activity; C:cellular_component
BCIN03G04270,0.313431111,0,putative serine-rich protein,C:cellular_component
BCIN01G06490,0.313419055,0,hypothetical protein BC1G_00345 [Botrytis cinerea B050],P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN07G03500,0.31335174,0,KH domain-containing [Botrytis cinerea T4],F:RNA binding
BCIN01G04670,0.313189982,0,hypothetical protein BC1G_13327,no GO terms
BCIN15G02690,0.31310207,0,phenol acid carboxylase,F:carboxy-lyase activity
BCIN12G03290,0.312972463,0,hypothetical protein BofuT4_P000090,F:ion binding
BCIN09G06530,0.312711742,0,[Botrytis cinerea ],C:cellular_component
BCIN16G02910,0.312441978,0,mediator of rna polymerase ii transcription subunit 6,"F:transcription factor activity, protein binding; C:protein complex; P:cellular nitrogen compound metabolic process; P:biosynthetic process; C:nucleoplasm"
BCIN15G03580,0.31235909,0,stress-activated mitogen-activated kinase [Botrytis cinerea],C:nucleus; C:cytoplasm; F:ion binding; P:cellular protein modification process; P:cellular nitrogen compound metabolic process; P:biosynthetic process; F:signal transducer activity; F:kinase activity
BCIN04G05050,0.311119283,0,camp-mediated signaling sok1 [Botrytis cinerea 1],no GO terms
BCIN12G00340,0.310989676,0,MNNG and nitrosoguanidine resistance,C:cellular_component
BCIN06G07510,0.310867102,0,phosphoglycerate mutase,no GO terms
BCIN09G00230,0.310619441,0,RING finger domain [Botrytis cinerea T4],F:ion binding
BCIN07G04350,0.310575234,0,sphingomyelin phosphodiesterase,"F:sphingomyelin phosphodiesterase activity; P:sphingomyelin catabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN09G02150,0.310518971,0,hypothetical protein BC1G_07175 [Botrytis cinerea B050],no GO terms
BCIN04G03050,0.310451656,0,G coupled receptor family [Botrytis cinerea T4],C:cellular_component; F:signal transducer activity
BCIN12G01570,0.310318532,0,hypothetical protein BofuT4_P133590 [Botrytis cinerea T4],no GO terms
BCIN10G01160,0.310227104,0,hypothetical protein BcDW1_1959,no GO terms
BCIN13G03210,0.309981955,0,lactoylglutathione lyase,F:lyase activity; F:ion binding
BCIN07G07080,0.309517279,0,acid phosphatase [Botrytis cinerea T4],F:phosphatase activity
BCIN15G02180,0.309104345,0,,F:protein binding
BCIN08G00990,0.308966198,0,[Botrytis cinerea ],no GO terms
BCIN13G02910,0.308724064,0,Copper fist DNA binding domain,C:nucleus; F:DNA binding; F:nucleic acid binding transcription factor activity; F:ion binding; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN04G03230,0.308651222,0,short-chain dehydrogenase reductase sdr,F:oxidoreductase activity
BCIN03G06980,0.308647706,0,prephenate dehydrogenase,F:oxidoreductase activity; P:cellular amino acid metabolic process; P:biosynthetic process
BCIN02G07930,0.308502023,0,3-oxoacyl-acyl-carrier- reductase [Botrytis cinerea T4],F:oxidoreductase activity
BCIN07G06370,0.308469873,0,transcription factor C2H2 [Botrytis cinerea T4],C:nucleus; F:DNA binding; F:ion binding; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN11G06340,0.308431192,0,ubiquitin-conjugating enzyme E2 [Botrytis cinerea T4],no GO terms
